"Computer Name","IP Address","OS","CPU","Last Report Time"
"246ITSLT010","172.16.2.75","Win10 10.0.17134.590 (1803)","2500 MHz Core i5-6300U","Wed, 30 Oct 2019 15:11:00 +0000"
"246ITSLT008","172.16.4.99","Win10 10.0.17134.590 (1803)","2500 MHz Core i5-6300U","Wed, 30 Oct 2019 15:36:03 +0000"
"246ITSLT007","172.16.0.137","Win10 10.0.17134.1009 (1803)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 18:07:52 +0000"
"246ITSLT015","172.16.0.182
10.74.9.240","Win10 10.0.17134.1009 (1803)","1900 MHz Core i5-8350U","Tue, 05 Nov 2019 18:14:05 +0000"
"236URGLT007","192.168.254.74
172.19.175.254","Win10 10.0.17134.1069 (1803)","1900 MHz Core i5-8350U","Tue, 05 Nov 2019 02:39:28 +0000"
"401FINLT024","172.19.57.90","Win10 10.0.17134.1 (1803)","2500 MHz Core i5-6300U","Tue, 05 Nov 2019 16:18:32 +0000"
"401FINLT026","192.168.1.163
172.19.174.54","Win10 10.0.17134.590 (1803)","2500 MHz Core i5-6300U","Sun, 03 Nov 2019 19:37:28 +0000"
"404PACPC051","172.24.214.69","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:16:14 +0000"
"404PACPC050","172.24.214.136","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:15:01 +0000"
"404PACPC049","172.24.214.85","Win10 10.0.17134.590 (1803)","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:07:23 +0000"
"404PACPC048","172.24.215.176","Win10 10.0.17134.590 (1803)","2900 MHz Core i5-4570S","Tue, 05 Nov 2019 18:01:48 +0000"
"404PACPC047","172.24.214.49","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:44:39 +0000"
"404PACPC046","172.24.215.63","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:08:13 +0000"
"404PACPC045","172.24.215.182","Win10 10.0.17134.1006 (1803)","2900 MHz Core i5-4570S","Tue, 05 Nov 2019 17:59:13 +0000"
"404PACPC052","172.24.214.108","Win10 10.0.17134.590 (1803)","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 17:50:04 +0000"
"404PACPC044","172.24.215.223","Win10 10.0.17134.590 (1803)","3300 MHz Core i5-4590","Tue, 05 Nov 2019 17:59:12 +0000"
"404PACPC041","172.24.215.47","Win10 10.0.17134.590 (1803)","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 17:57:07 +0000"
"404PACPC040","172.24.214.145","Win10 10.0.17134.950 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:54:07 +0000"
"404PACPC039","172.24.215.244","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:58:18 +0000"
"404PACPC038","172.24.214.162","Win10 10.0.17134.590 (1803)","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:01:40 +0000"
"404PACPC037","172.24.214.138","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:31:54 +0000"
"404PACPC036","172.24.215.62","Win10 10.0.17134.590 (1803)","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:05:27 +0000"
"404PACPC035","172.24.209.208","Win10 10.0.17134.590 (1803)","3200 MHz Core i5-6500","Tue, 05 Nov 2019 18:12:07 +0000"
"404PACPC043","172.24.215.25","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:50:02 +0000"
"404PACPC034","172.24.209.211","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:07:23 +0000"
"404PACPC053","172.24.214.58","Win10 10.0.17134.590 (1803)","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:04:30 +0000"
"404PACPC055","172.24.214.142","Win10 10.0.17134.590 (1803)","2900 MHz Core i5-4570S","Tue, 05 Nov 2019 18:12:42 +0000"
"404PACPC071","172.24.215.26","Win10 10.0.17134.590 (1803)","2900 MHz Core i5-4570S","Tue, 05 Nov 2019 18:12:36 +0000"
"404PACPC070","172.24.215.186","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:13:43 +0000"
"404PACPC069","172.24.214.41","Win10 10.0.17134.590 (1803)","3300 MHz Core i5-4590","Tue, 05 Nov 2019 18:04:54 +0000"
"404PACPC068","172.24.215.44","Win10 10.0.17134.590 (1803)","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:16:50 +0000"
"404PACPC067","172.24.214.6","Win10 10.0.17134.590 (1803)","2900 MHz Core i5-4570S","Tue, 05 Nov 2019 18:08:36 +0000"
